sid,lat,long,easting,northing
5903,-45.6707825,166.5732489,2009622,5484543
5904,-45.6712971,166.5721097,2009538,5484479
5905,-45.6719644,166.5711205,2009467,5484399
5906,-45.6721605,166.5697725,2009364,5484369
5907,-45.6730498,166.5692089,2009328,5484267
5908,-45.6738644,166.5684348,2009275,5484172
5909,-45.6747013,166.5679028,2009241,5484076
5910,-45.675475,166.5670431,2009181,5483985
5911,-45.6760863,166.5660216,2009107,5483911
5912,-45.6766395,166.5649292,2009027,5483843
5913,-45.6768115,166.5636353,2008928,5483816
5914,-45.6772492,166.5624143,2008837,5483760
5915,-45.6765783,166.5613828,2008751,5483828
5916,-45.6758147,166.5606321,2008686,5483908
5917,-45.675292,166.5595066,2008594,5483959
5918,-45.6755067,166.5581692,2008492,5483927
5919,-45.6763905,166.5576703,2008461,5483826
5920,-45.6766693,166.5563514,2008361,5483787
5921,-45.6773605,166.5553078,2008286,5483704
5922,-45.677814,166.5540463,2008192,5483646
5923,-45.6787727,166.5537578,2008178,5483538
5924,-45.6794826,166.5545145,2008243,5483464
5925,-45.6803444,166.5554086,2008320,5483374
5926,-45.6813121,166.5551191,2008306,5483265
5927,-45.6822332,166.5554529,2008340,5483165
5928,-45.6831539,166.5556193,2008361,5483064
5929,-45.6833451,166.5569497,2008466,5483051
5930,-45.6843523,166.5576987,2008533,5482944
5931,-45.6846564,166.558952,2008633,5482918
5932,-45.6847076,166.5603627,2008743,5482921
5933,-45.6848725,166.561709,2008849,5482911
5934,-45.6852282,166.5629179,2008946,5482879
5935,-45.6855772,166.5641662,2009046,5482848
5936,-45.6862032,166.565203,2009132,5482785
5937,-45.6867279,166.5663671,2009227,5482734
6001,-45.653538,166.5431964,2007136,5486269
6002,-45.653443,166.5445713,2007242,5486288
6003,-45.6532582,166.5459564,2007348,5486317
6004,-45.6531438,166.5473077,2007452,5486338
6005,-45.6526012,166.5484243,2007534,5486405
6006,-45.6519327,166.5493878,2007603,5486485
6007,-45.6521508,166.5507144,2007708,5486469
6008,-45.6521094,166.5515942,2007776,5486479
6009,-45.6512059,166.5519021,2007792,5486581
6010,-45.650259,166.5522406,2007810,5486688
6011,-45.6494171,166.5521941,2007799,5486781
6012,-45.6501348,166.5530911,2007875,5486707
6013,-45.6494478,166.553722,2007918,5486787
6014,-45.6495621,166.5544812,2007978,5486779
6015,-45.6494455,166.5557941,2008079,5486800
6016,-45.6493047,166.5571611,2008184,5486824
6017,-45.6493958,166.5584763,2008287,5486822
6018,-45.6492578,166.5598945,2008396,5486846
6019,-45.6485201,166.5607498,2008456,5486933
6020,-45.6478812,166.5617612,2008529,5487010
6021,-45.6470328,166.5624101,2008572,5487108
6022,-45.646057,166.5623914,2008562,5487216
6023,-45.6452143,166.561843,2008512,5487306
6024,-45.644505,166.5609322,2008435,5487379
6025,-45.6436297,166.5602846,2008377,5487472
6026,-45.6427165,166.5605805,2008392,5487575
6027,-45.6420463,166.5595624,2008307,5487643
6028,-45.6412591,166.5592008,2008272,5487728
6029,-45.6402973,166.5592707,2008269,5487835
6101,-45.6419076,166.5442281,2007114,5487564
6102,-45.6427959,166.5439733,2007102,5487464
6103,-45.6437263,166.5436622,2007086,5487359
6104,-45.6447065,166.5434356,2007077,5487249
6105,-45.6456421,166.5433813,2007081,5487145
6106,-45.6465961,166.5431705,2007073,5487038
6107,-45.6475492,166.5432687,2007089,5486933
6108,-45.6484925,166.5428661,2007066,5486826
6109,-45.6494187,166.5429672,2007082,5486724
6110,-45.6501363,166.5420754,2007019,5486639
6111,-45.651112,166.5420937,2007029,5486531
6112,-45.6520324,166.5424143,2007062,5486431
6113,-45.6530062,166.5420726,2007044,5486321
6114,-45.654053,166.54207,2007053,5486205
6115,-45.6550463,166.54143,2007012,5486091
6116,-45.6559386,166.5418954,2007056,5485995
6117,-45.6568499,166.541728,2007051,5485893
6118,-45.6577833,166.5416353,2007052,5485789
6119,-45.6587298,166.541451,2007046,5485683
6201,-45.6409801,166.5445902,2007134,5487669
6202,-45.6400341,166.5446199,2007128,5487774
6203,-45.6390822,166.544869,2007139,5487881
6204,-45.6381372,166.5450788,2007147,5487987
6205,-45.6371154,166.5452071,2007148,5488101
6206,-45.6362233,166.5457196,2007180,5488203
6207,-45.6353714,166.5463047,2007218,5488301
6208,-45.6344103,166.5463875,2007216,5488408
6209,-45.6334831,166.5461063,2007186,5488509
6210,-45.6325476,166.5458389,2007157,5488611
6211,-45.6316194,166.5461882,2007176,5488716
6212,-45.6307191,166.545904,2007146,5488814
6213,-45.6302208,166.544571,2007038,5488861
6301,-45.6564603,166.5298671,2006126,5485863
6302,-45.6555283,166.5296638,2006102,5485965
6303,-45.6546091,166.5300125,2006121,5486069
6304,-45.6536873,166.5296665,2006086,5486169
6305,-45.6527507,166.529541,2006068,5486272
6306,-45.6521874,166.5306086,2006146,5486341
6307,-45.6513828,166.5313947,2006200,5486435
6308,-45.6505199,166.5319428,2006235,5486534
6309,-45.6498211,166.5328456,2006299,5486617
6310,-45.6491355,166.533824,2006369,5486699
6311,-45.6482675,166.5342826,2006397,5486798
6312,-45.6473407,166.5346578,2006418,5486903
6313,-45.6466039,166.5355261,2006479,5486990
6314,-45.6450715,166.536047,2006506,5487163
6315,-45.6441326,166.5362047,2006510,5487268
6316,-45.6434255,166.5371211,2006575,5487352
6317,-45.6433485,166.5384937,2006681,5487369
6318,-45.6429117,166.5397269,2006773,5487425
6319,-45.6424251,166.5408757,2006858,5487486
6320,-45.6418915,166.5419911,2006940,5487552
6321,-45.6413474,166.5430819,2007020,5487619
6401,-45.6433844,166.5297399,2006001,5487311
6402,-45.6441916,166.5304592,2006064,5487226
6403,-45.6444961,166.5317114,2006164,5487200
6404,-45.6450969,166.5327757,2006252,5487140
6405,-45.645604,166.5339407,2006347,5487091
6406,-45.6456106,166.5353554,2006457,5487099
6501,-45.6575168,166.5306869,2006199,5485751
6502,-45.6578621,166.5320249,2006306,5485721
6503,-45.6579548,166.5333658,2006411,5485719
6504,-45.65804,166.5347333,2006518,5485718
6505,-45.6583376,166.5360253,2006621,5485693
6506,-45.65846,166.5374144,2006730,5485688
6507,-45.6587569,166.5386936,2006832,5485663
6508,-45.6588599,166.5400591,2006939,5485660
6601,-45.6696906,166.5230508,2005713,5484355
6602,-45.668851,166.5223994,2005655,5484444
6603,-45.668094,166.52161,2005587,5484523
6604,-45.6671415,166.521525,2005572,5484628
6605,-45.6662417,166.5218974,2005593,5484730
6606,-45.6652998,166.5215151,2005555,5484832
6607,-45.6647789,166.5226941,2005642,5484897
6608,-45.6638819,166.5231177,2005667,5484999
6609,-45.6631327,166.5239235,2005723,5485087
6610,-45.6625142,166.524972,2005799,5485162
6611,-45.6620837,166.5261535,2005887,5485217
6612,-45.6612279,166.5268297,2005932,5485316
6613,-45.6607884,166.5280122,2006020,5485372
6614,-45.6601394,166.5289997,2006091,5485450
6615,-45.6592807,166.5296247,2006132,5485549
6616,-45.6584235,166.5302753,2006175,5485648
6701,-45.6801524,166.5303615,2006373,5483241
6702,-45.6796327,166.5310771,2006424,5483303
6703,-45.6792358,166.5322165,2006509,5483354
6704,-45.6789061,166.5334255,2006600,5483398
6705,-45.6785238,166.5346662,2006693,5483448
6706,-45.6782611,166.5359449,2006790,5483485
6707,-45.6775311,166.5367743,2006848,5483571
6708,-45.6767465,166.537597,2006905,5483663
6709,-45.6759487,166.538344,2006956,5483756
6710,-45.6751004,166.5389936,2006999,5483854
6711,-45.6742055,166.5394554,2007027,5483956
6712,-45.6732243,166.5395021,2007022,5484065
6713,-45.672457,166.5403099,2007078,5484155
6714,-45.671627,166.5408029,2007109,5484250
6715,-45.6708568,166.5415594,2007161,5484340
6716,-45.6699479,166.5419326,2007182,5484443
6717,-45.6689736,166.5419398,2007174,5484551
6718,-45.668068,166.5422096,2007187,5484653
6719,-45.6671745,166.5426968,2007217,5484755
6720,-45.6662318,166.5426233,2007203,5484859
6721,-45.6653574,166.5421558,2007159,5484953
6722,-45.664375,166.541855,2007127,5485060
6723,-45.6633817,166.5416842,2007105,5485169
6724,-45.6624275,166.5417278,2007100,5485275
6725,-45.6614805,166.5415775,2007080,5485379
6726,-45.6605386,166.5411949,2007042,5485481
6727,-45.6595949,166.5409413,2007014,5485584
6801,-45.6706276,166.5230217,2005719,5484251
6802,-45.6711265,166.52339,2005752,5484198
6803,-45.6718796,166.5242701,2005827,5484120
6804,-45.6727418,166.5248417,2005879,5484028
6805,-45.6736177,166.5253345,2005925,5483934
6806,-45.6743244,166.5261942,2005998,5483861
6807,-45.6750086,166.5271337,2006077,5483791
6808,-45.6758399,166.527799,2006136,5483703
